r: 1, b: 1, w: 33
r: 1, b: 2, w: 32
r: 2, b: 1, w: 32
r: 1, b: 3, w: 31
r: 2, b: 2, w: 31
r: 3, b: 1, w: 31
r: 1, b: 4, w: 30
r: 2, b: 3, w: 30
r: 3, b: 2, w: 30
r: 4, b: 1, w: 30
r: 1, b: 5, w: 29
r: 2, b: 4, w: 29
r: 3, b: 3, w: 29
r: 4, b: 2, w: 29
r: 5, b: 1, w: 29
r: 1, b: 6, w: 28
r: 2, b: 5, w: 28
r: 3, b: 4, w: 28
r: 4, b: 3, w: 28
r: 5, b: 2, w: 28
r: 6, b: 1, w: 28
r: 1, b: 7, w: 27
r: 2, b: 6, w: 27
r: 3, b: 5, w: 27
r: 4, b: 4, w: 27
r: 5, b: 3, w: 27
r: 6, b: 2, w: 27
r: 7, b: 1, w: 27
r: 1, b: 8, w: 26
r: 2, b: 7, w: 26
r: 3, b: 6, w: 26
r: 4, b: 5, w: 26
r: 5, b: 4, w: 26
r: 6, b: 3, w: 26
r: 7, b: 2, w: 26
r: 8, b: 1, w: 26
r: 1, b: 9, w: 25
r: 2, b: 8, w: 25
r: 3, b: 7, w: 25
r: 4, b: 6, w: 25
r: 5, b: 5, w: 25
r: 6, b: 4, w: 25
r: 7, b: 3, w: 25
r: 8, b: 2, w: 25
r: 9, b: 1, w: 25
r: 1, b: 10, w: 24
r: 2, b: 9, w: 24
r: 3, b: 8, w: 24
r: 4, b: 7, w: 24
r: 5, b: 6, w: 24
r: 6, b: 5, w: 24
r: 7, b: 4, w: 24
r: 8, b: 3, w: 24
r: 9, b: 2, w: 24
r: 10, b: 1, w: 24
r: 1, b: 11, w: 23
r: 2, b: 10, w: 23
r: 3, b: 9, w: 23
r: 4, b: 8, w: 23
r: 5, b: 7, w: 23
r: 6, b: 6, w: 23
r: 7, b: 5, w: 23
r: 8, b: 4, w: 23
r: 9, b: 3, w: 23
r: 10, b: 2, w: 23
r: 11, b: 1, w: 23
r: 1, b: 12, w: 22
r: 2, b: 11, w: 22
r: 3, b: 10, w: 22
r: 4, b: 9, w: 22
r: 5, b: 8, w: 22
r: 6, b: 7, w: 22
r: 7, b: 6, w: 22
r: 8, b: 5, w: 22
r: 9, b: 4, w: 22
r: 10, b: 3, w: 22
r: 11, b: 2, w: 22
r: 12, b: 1, w: 22
r: 1, b: 13, w: 21
r: 2, b: 12, w: 21
r: 3, b: 11, w: 21
r: 4, b: 10, w: 21
r: 5, b: 9, w: 21
r: 6, b: 8, w: 21
r: 7, b: 7, w: 21
r: 8, b: 6, w: 21
r: 9, b: 5, w: 21
r: 10, b: 4, w: 21
r: 11, b: 3, w: 21
r: 12, b: 2, w: 21
r: 13, b: 1, w: 21
r: 1, b: 14, w: 20
r: 2, b: 13, w: 20
r: 3, b: 12, w: 20
r: 4, b: 11, w: 20
r: 5, b: 10, w: 20
r: 6, b: 9, w: 20
r: 7, b: 8, w: 20
r: 8, b: 7, w: 20
r: 9, b: 6, w: 20
r: 10, b: 5, w: 20
r: 11, b: 4, w: 20
r: 12, b: 3, w: 20
r: 13, b: 2, w: 20
r: 14, b: 1, w: 20
r: 1, b: 15, w: 19
r: 2, b: 14, w: 19
r: 3, b: 13, w: 19
r: 4, b: 12, w: 19
r: 5, b: 11, w: 19
r: 6, b: 10, w: 19
r: 7, b: 9, w: 19
r: 8, b: 8, w: 19
r: 9, b: 7, w: 19
r: 10, b: 6, w: 19
r: 11, b: 5, w: 19
r: 12, b: 4, w: 19
r: 13, b: 3, w: 19
r: 14, b: 2, w: 19
r: 15, b: 1, w: 19
r: 1, b: 16, w: 18
r: 2, b: 15, w: 18
r: 3, b: 14, w: 18
r: 4, b: 13, w: 18
r: 5, b: 12, w: 18
r: 6, b: 11, w: 18
r: 7, b: 10, w: 18
r: 8, b: 9, w: 18
r: 9, b: 8, w: 18
r: 10, b: 7, w: 18
r: 11, b: 6, w: 18
r: 12, b: 5, w: 18
r: 13, b: 4, w: 18
r: 14, b: 3, w: 18
r: 15, b: 2, w: 18
r: 16, b: 1, w: 18
r: 1, b: 17, w: 17
r: 2, b: 16, w: 17
r: 3, b: 15, w: 17
r: 4, b: 14, w: 17
r: 5, b: 13, w: 17
r: 6, b: 12, w: 17
r: 7, b: 11, w: 17
r: 8, b: 10, w: 17
r: 9, b: 9, w: 17
r: 10, b: 8, w: 17
r: 11, b: 7, w: 17
r: 12, b: 6, w: 17
r: 13, b: 5, w: 17
r: 14, b: 4, w: 17
r: 15, b: 3, w: 17
r: 16, b: 2, w: 17
r: 17, b: 1, w: 17
r: 1, b: 18, w: 16
r: 2, b: 17, w: 16
r: 3, b: 16, w: 16
r: 4, b: 15, w: 16
r: 5, b: 14, w: 16
r: 6, b: 13, w: 16
r: 7, b: 12, w: 16
r: 8, b: 11, w: 16
r: 9, b: 10, w: 16
r: 10, b: 9, w: 16
r: 11, b: 8, w: 16
r: 12, b: 7, w: 16
r: 13, b: 6, w: 16
r: 14, b: 5, w: 16
r: 15, b: 4, w: 16
r: 16, b: 3, w: 16
r: 17, b: 2, w: 16
r: 18, b: 1, w: 16
r: 1, b: 19, w: 15
r: 2, b: 18, w: 15
r: 3, b: 17, w: 15
r: 4, b: 16, w: 15
r: 5, b: 15, w: 15
r: 6, b: 14, w: 15
r: 7, b: 13, w: 15
r: 8, b: 12, w: 15
r: 9, b: 11, w: 15
r: 10, b: 10, w: 15
r: 11, b: 9, w: 15
r: 12, b: 8, w: 15
r: 13, b: 7, w: 15
r: 14, b: 6, w: 15
r: 15, b: 5, w: 15
r: 16, b: 4, w: 15
r: 17, b: 3, w: 15
r: 18, b: 2, w: 15
r: 19, b: 1, w: 15
r: 1, b: 20, w: 14
r: 2, b: 19, w: 14
r: 3, b: 18, w: 14
r: 4, b: 17, w: 14
r: 5, b: 16, w: 14
r: 6, b: 15, w: 14
r: 7, b: 14, w: 14
r: 8, b: 13, w: 14
r: 9, b: 12, w: 14
r: 10, b: 11, w: 14
r: 11, b: 10, w: 14
r: 12, b: 9, w: 14
r: 13, b: 8, w: 14
r: 14, b: 7, w: 14
r: 15, b: 6, w: 14
r: 16, b: 5, w: 14
r: 17, b: 4, w: 14
r: 18, b: 3, w: 14
r: 19, b: 2, w: 14
r: 20, b: 1, w: 14
r: 1, b: 21, w: 13
r: 2, b: 20, w: 13
r: 3, b: 19, w: 13
r: 4, b: 18, w: 13
r: 5, b: 17, w: 13
r: 6, b: 16, w: 13
r: 7, b: 15, w: 13
r: 8, b: 14, w: 13
r: 9, b: 13, w: 13
r: 10, b: 12, w: 13
r: 11, b: 11, w: 13
r: 12, b: 10, w: 13
r: 13, b: 9, w: 13
r: 14, b: 8, w: 13
r: 15, b: 7, w: 13
r: 16, b: 6, w: 13
r: 17, b: 5, w: 13
r: 18, b: 4, w: 13
r: 19, b: 3, w: 13
r: 20, b: 2, w: 13
r: 21, b: 1, w: 13
r: 1, b: 22, w: 12
r: 2, b: 21, w: 12
r: 3, b: 20, w: 12
r: 4, b: 19, w: 12
r: 5, b: 18, w: 12
r: 6, b: 17, w: 12
r: 7, b: 16, w: 12
r: 8, b: 15, w: 12
r: 9, b: 14, w: 12
r: 10, b: 13, w: 12
r: 11, b: 12, w: 12
r: 12, b: 11, w: 12
r: 13, b: 10, w: 12
r: 14, b: 9, w: 12
r: 15, b: 8, w: 12
r: 16, b: 7, w: 12
r: 17, b: 6, w: 12
r: 18, b: 5, w: 12
r: 19, b: 4, w: 12
r: 20, b: 3, w: 12
r: 21, b: 2, w: 12
r: 22, b: 1, w: 12
r: 1, b: 23, w: 11
r: 2, b: 22, w: 11
r: 3, b: 21, w: 11
r: 4, b: 20, w: 11
r: 5, b: 19, w: 11
r: 6, b: 18, w: 11
r: 7, b: 17, w: 11
r: 8, b: 16, w: 11
r: 9, b: 15, w: 11
r: 10, b: 14, w: 11
r: 11, b: 13, w: 11
r: 12, b: 12, w: 11
r: 13, b: 11, w: 11
r: 14, b: 10, w: 11
r: 15, b: 9, w: 11
r: 16, b: 8, w: 11
r: 17, b: 7, w: 11
