r: 1, g: 1, u: 1, b: 1, w: 37
r: 1, g: 1, u: 1, b: 2, w: 36
r: 1, g: 1, u: 2, b: 1, w: 36
r: 1, g: 2, u: 1, b: 1, w: 36
r: 2, g: 1, u: 1, b: 1, w: 36
r: 1, g: 1, u: 1, b: 3, w: 35
r: 1, g: 1, u: 2, b: 2, w: 35
r: 1, g: 2, u: 1, b: 2, w: 35
r: 2, g: 1, u: 1, b: 2, w: 35
r: 1, g: 1, u: 3, b: 1, w: 35
r: 1, g: 2, u: 2, b: 1, w: 35
r: 2, g: 1, u: 2, b: 1, w: 35
r: 1, g: 3, u: 1, b: 1, w: 35
r: 2, g: 2, u: 1, b: 1, w: 35
r: 3, g: 1, u: 1, b: 1, w: 35
r: 1, g: 1, u: 1, b: 4, w: 34
r: 1, g: 1, u: 2, b: 3, w: 34
r: 1, g: 2, u: 1, b: 3, w: 34
r: 2, g: 1, u: 1, b: 3, w: 34
r: 1, g: 1, u: 3, b: 2, w: 34
r: 1, g: 2, u: 2, b: 2, w: 34
r: 2, g: 1, u: 2, b: 2, w: 34
r: 1, g: 3, u: 1, b: 2, w: 34
r: 2, g: 2, u: 1, b: 2, w: 34
r: 3, g: 1, u: 1, b: 2, w: 34
r: 1, g: 1, u: 4, b: 1, w: 34
r: 1, g: 2, u: 3, b: 1, w: 34
r: 2, g: 1, u: 3, b: 1, w: 34
r: 1, g: 3, u: 2, b: 1, w: 34
r: 2, g: 2, u: 2, b: 1, w: 34
r: 3, g: 1, u: 2, b: 1, w: 34
r: 1, g: 4, u: 1, b: 1, w: 34
r: 2, g: 3, u: 1, b: 1, w: 34
r: 3, g: 2, u: 1, b: 1, w: 34
r: 4, g: 1, u: 1, b: 1, w: 34
r: 1, g: 1, u: 1, b: 5, w: 33
r: 1, g: 1, u: 2, b: 4, w: 33
r: 1, g: 2, u: 1, b: 4, w: 33
r: 2, g: 1, u: 1, b: 4, w: 33
r: 1, g: 1, u: 3, b: 3, w: 33
r: 1, g: 2, u: 2, b: 3, w: 33
r: 2, g: 1, u: 2, b: 3, w: 33
r: 1, g: 3, u: 1, b: 3, w: 33
r: 2, g: 2, u: 1, b: 3, w: 33
r: 3, g: 1, u: 1, b: 3, w: 33
r: 1, g: 1, u: 4, b: 2, w: 33
r: 1, g: 2, u: 3, b: 2, w: 33
r: 2, g: 1, u: 3, b: 2, w: 33
r: 1, g: 3, u: 2, b: 2, w: 33
r: 2, g: 2, u: 2, b: 2, w: 33
r: 3, g: 1, u: 2, b: 2, w: 33
r: 1, g: 4, u: 1, b: 2, w: 33
r: 2, g: 3, u: 1, b: 2, w: 33
r: 3, g: 2, u: 1, b: 2, w: 33
r: 4, g: 1, u: 1, b: 2, w: 33
r: 1, g: 1, u: 5, b: 1, w: 33
r: 1, g: 2, u: 4, b: 1, w: 33
r: 2, g: 1, u: 4, b: 1, w: 33
r: 1, g: 3, u: 3, b: 1, w: 33
r: 2, g: 2, u: 3, b: 1, w: 33
r: 3, g: 1, u: 3, b: 1, w: 33
r: 1, g: 4, u: 2, b: 1, w: 33
r: 2, g: 3, u: 2, b: 1, w: 33
r: 3, g: 2, u: 2, b: 1, w: 33
r: 4, g: 1, u: 2, b: 1, w: 33
r: 1, g: 5, u: 1, b: 1, w: 33
r: 2, g: 4, u: 1, b: 1, w: 33
r: 3, g: 3, u: 1, b: 1, w: 33
r: 4, g: 2, u: 1, b: 1, w: 33
r: 5, g: 1, u: 1, b: 1, w: 33
r: 1, g: 1, u: 1, b: 6, w: 32
r: 1, g: 1, u: 2, b: 5, w: 32
r: 1, g: 2, u: 1, b: 5, w: 32
r: 2, g: 1, u: 1, b: 5, w: 32
r: 1, g: 1, u: 3, b: 4, w: 32
r: 1, g: 2, u: 2, b: 4, w: 32
r: 2, g: 1, u: 2, b: 4, w: 32
r: 1, g: 3, u: 1, b: 4, w: 32
r: 2, g: 2, u: 1, b: 4, w: 32
r: 3, g: 1, u: 1, b: 4, w: 32
r: 1, g: 1, u: 4, b: 3, w: 32
r: 1, g: 2, u: 3, b: 3, w: 32
r: 2, g: 1, u: 3, b: 3, w: 32
r: 1, g: 3, u: 2, b: 3, w: 32
r: 2, g: 2, u: 2, b: 3, w: 32
r: 3, g: 1, u: 2, b: 3, w: 32
r: 1, g: 4, u: 1, b: 3, w: 32
r: 2, g: 3, u: 1, b: 3, w: 32
r: 3, g: 2, u: 1, b: 3, w: 32
r: 4, g: 1, u: 1, b: 3, w: 32
r: 1, g: 1, u: 5, b: 2, w: 32
r: 1, g: 2, u: 4, b: 2, w: 32
r: 2, g: 1, u: 4, b: 2, w: 32
r: 1, g: 3, u: 3, b: 2, w: 32
r: 2, g: 2, u: 3, b: 2, w: 32
r: 3, g: 1, u: 3, b: 2, w: 32
r: 1, g: 4, u: 2, b: 2, w: 32
r: 2, g: 3, u: 2, b: 2, w: 32
r: 3, g: 2, u: 2, b: 2, w: 32
r: 4, g: 1, u: 2, b: 2, w: 32
r: 1, g: 5, u: 1, b: 2, w: 32
r: 2, g: 4, u: 1, b: 2, w: 32
r: 3, g: 3, u: 1, b: 2, w: 32
r: 4, g: 2, u: 1, b: 2, w: 32
r: 5, g: 1, u: 1, b: 2, w: 32
r: 1, g: 1, u: 6, b: 1, w: 32
r: 1, g: 2, u: 5, b: 1, w: 32
r: 2, g: 1, u: 5, b: 1, w: 32
r: 1, g: 3, u: 4, b: 1, w: 32
r: 2, g: 2, u: 4, b: 1, w: 32
r: 3, g: 1, u: 4, b: 1, w: 32
r: 1, g: 4, u: 3, b: 1, w: 32
r: 2, g: 3, u: 3, b: 1, w: 32
r: 3, g: 2, u: 3, b: 1, w: 32
r: 4, g: 1, u: 3, b: 1, w: 32
r: 1, g: 5, u: 2, b: 1, w: 32
r: 2, g: 4, u: 2, b: 1, w: 32
r: 3, g: 3, u: 2, b: 1, w: 32
r: 4, g: 2, u: 2, b: 1, w: 32
r: 5, g: 1, u: 2, b: 1, w: 32
r: 1, g: 6, u: 1, b: 1, w: 32
r: 2, g: 5, u: 1, b: 1, w: 32
r: 3, g: 4, u: 1, b: 1, w: 32
r: 4, g: 3, u: 1, b: 1, w: 32
r: 5, g: 2, u: 1, b: 1, w: 32
r: 6, g: 1, u: 1, b: 1, w: 32
r: 1, g: 1, u: 1, b: 7, w: 31
r: 1, g: 1, u: 2, b: 6, w: 31
r: 1, g: 2, u: 1, b: 6, w: 31
r: 2, g: 1, u: 1, b: 6, w: 31
r: 1, g: 1, u: 3, b: 5, w: 31
r: 1, g: 2, u: 2, b: 5, w: 31
r: 2, g: 1, u: 2, b: 5, w: 31
r: 1, g: 3, u: 1, b: 5, w: 31
r: 2, g: 2, u: 1, b: 5, w: 31
r: 3, g: 1, u: 1, b: 5, w: 31
r: 1, g: 1, u: 4, b: 4, w: 31
r: 1, g: 2, u: 3, b: 4, w: 31
r: 2, g: 1, u: 3, b: 4, w: 31
r: 1, g: 3, u: 2, b: 4, w: 31
r: 2, g: 2, u: 2, b: 4, w: 31
r: 3, g: 1, u: 2, b: 4, w: 31
r: 1, g: 4, u: 1, b: 4, w: 31
r: 2, g: 3, u: 1, b: 4, w: 31
r: 3, g: 2, u: 1, b: 4, w: 31
r: 4, g: 1, u: 1, b: 4, w: 31
r: 1, g: 1, u: 5, b: 3, w: 31
r: 1, g: 2, u: 4, b: 3, w: 31
r: 2, g: 1, u: 4, b: 3, w: 31
r: 1, g: 3, u: 3, b: 3, w: 31
r: 2, g: 2, u: 3, b: 3, w: 31
r: 3, g: 1, u: 3, b: 3, w: 31
r: 1, g: 4, u: 2, b: 3, w: 31
r: 2, g: 3, u: 2, b: 3, w: 31
r: 3, g: 2, u: 2, b: 3, w: 31
r: 4, g: 1, u: 2, b: 3, w: 31
r: 1, g: 5, u: 1, b: 3, w: 31
r: 2, g: 4, u: 1, b: 3, w: 31
r: 3, g: 3, u: 1, b: 3, w: 31
r: 4, g: 2, u: 1, b: 3, w: 31
r: 5, g: 1, u: 1, b: 3, w: 31
r: 1, g: 1, u: 6, b: 2, w: 31
r: 1, g: 2, u: 5, b: 2, w: 31
r: 2, g: 1, u: 5, b: 2, w: 31
r: 1, g: 3, u: 4, b: 2, w: 31
r: 2, g: 2, u: 4, b: 2, w: 31
r: 3, g: 1, u: 4, b: 2, w: 31
r: 1, g: 4, u: 3, b: 2, w: 31
r: 2, g: 3, u: 3, b: 2, w: 31
r: 3, g: 2, u: 3, b: 2, w: 31
r: 4, g: 1, u: 3, b: 2, w: 31
r: 1, g: 5, u: 2, b: 2, w: 31
r: 2, g: 4, u: 2, b: 2, w: 31
r: 3, g: 3, u: 2, b: 2, w: 31
r: 4, g: 2, u: 2, b: 2, w: 31
r: 5, g: 1, u: 2, b: 2, w: 31
r: 1, g: 6, u: 1, b: 2, w: 31
r: 2, g: 5, u: 1, b: 2, w: 31
r: 3, g: 4, u: 1, b: 2, w: 31
r: 4, g: 3, u: 1, b: 2, w: 31
r: 5, g: 2, u: 1, b: 2, w: 31
r: 6, g: 1, u: 1, b: 2, w: 31
r: 1, g: 1, u: 7, b: 1, w: 31
r: 1, g: 2, u: 6, b: 1, w: 31
r: 2, g: 1, u: 6, b: 1, w: 31
r: 1, g: 3, u: 5, b: 1, w: 31
r: 2, g: 2, u: 5, b: 1, w: 31
r: 3, g: 1, u: 5, b: 1, w: 31
r: 1, g: 4, u: 4, b: 1, w: 31
r: 2, g: 3, u: 4, b: 1, w: 31
r: 3, g: 2, u: 4, b: 1, w: 31
r: 4, g: 1, u: 4, b: 1, w: 31
r: 1, g: 5, u: 3, b: 1, w: 31
r: 2, g: 4, u: 3, b: 1, w: 31
r: 3, g: 3, u: 3, b: 1, w: 31
r: 4, g: 2, u: 3, b: 1, w: 31
r: 5, g: 1, u: 3, b: 1, w: 31
r: 1, g: 6, u: 2, b: 1, w: 31
r: 2, g: 5, u: 2, b: 1, w: 31
r: 3, g: 4, u: 2, b: 1, w: 31
r: 4, g: 3, u: 2, b: 1, w: 31
r: 5, g: 2, u: 2, b: 1, w: 31
r: 6, g: 1, u: 2, b: 1, w: 31
r: 1, g: 7, u: 1, b: 1, w: 31
r: 2, g: 6, u: 1, b: 1, w: 31
r: 3, g: 5, u: 1, b: 1, w: 31
r: 4, g: 4, u: 1, b: 1, w: 31
r: 5, g: 3, u: 1, b: 1, w: 31
r: 6, g: 2, u: 1, b: 1, w: 31
